student_id,attendance_percent,mid_exam_score,final_exam_score,assignments_avg,study_hours_per_week,success_status,
1,88,67,51,54,10,Fail,
2,78,37,83,77,8,Pass,
3,64,83,33,66,15,Fail,
4,92,66,94,60,6,Pass,
5,57,69,80,87,21,Fail,
6,70,63,92,85,16,Fail,
7,88,46,44,85,21,Fail,
8,68,62,65,87,2,Fail,
9,72,76,58,98,21,Fail,
10,60,81,81,93,8,Fail,
11,60,38,75,95,6,Fail,
12,73,62,98,43,5,Fail,
13,85,89,58,50,12,Fail,
14,89,50,76,58,20,Fail,
15,73,87,54,96,7,Fail,
16,52,98,45,58,21,Fail,
17,71,39,70,66,19,Fail,
18,51,35,94,79,6,Fail,
19,73,42,98,81,21,Fail,
20,93,94,49,67,16,Fail,
21,79,49,98,44,22,Fail,
22,87,86,65,87,21,Pass,
23,51,75,87,64,7,Fail,
24,70,37,77,42,5,Fail,
25,82,39,31,65,18,Fail,
26,61,96,58,49,16,Fail,
27,71,40,45,63,19,Fail,
28,93,41,64,68,7,Pass,
29,74,39,91,84,21,Fail,
30,98,54,33,46,23,Fail,
31,76,78,97,83,20,Pass,
32,91,78,80,62,13,Pass,
33,77,40,62,85,10,Pass,
34,65,91,53,66,9,Fail,
35,64,65,54,81,16,Fail,
36,96,68,57,48,2,Fail,
37,100,82,36,83,3,Fail,
38,93,85,65,95,4,Pass,
39,52,30,39,42,20,Fail,
40,86,85,65,52,11,Fail,
41,100,33,47,45,15,Fail,
42,56,59,35,98,20,Fail,
43,70,41,36,77,12,Fail,
44,58,64,41,60,22,Fail,
45,88,81,70,58,7,Fail,
46,67,60,92,64,20,Fail,
47,53,97,54,78,15,Fail,
48,74,81,82,43,9,Fail,
49,63,36,62,61,3,Fail,
50,99,51,35,44,23,Fail,
51,58,85,91,40,19,Fail,
52,75,87,95,89,23,Pass,
53,51,93,38,56,5,Fail,
54,69,41,96,48,4,Fail,
55,77,36,45,48,3,Fail,
56,96,84,84,92,5,Pass,
57,56,91,69,63,19,Fail,
58,93,84,55,49,12,Fail,
59,57,65,67,59,10,Fail,
60,96,53,64,56,9,Fail,
61,84,73,97,52,22,Fail,
62,63,46,88,68,9,Fail,
63,66,31,43,75,6,Fail,
64,85,42,76,62,14,Pass,
65,99,60,100,66,8,Pass,
66,89,57,71,57,22,Fail,
67,53,89,80,57,6,Fail,
68,51,56,48,93,14,Fail,
